Kode Provinsi,Nama Provinsi,Komoditas,Tahun,Bulan,Harga,Bulan_Angka,Harga_Bulan_Lalu,Harga_3Bulan_Lalu,Harga_Tahun_Lalu,Provinsi_ID,Komoditas_ID
11,Aceh,Bawang Putih (Bonggol),2022,Januari,28696.0,1,27979.0,29559.0,27063.0,38,1
12,Sumatera Utara,Bawang Putih (Bonggol),2022,Januari,28896.0,1,27963.0,27997.0,26620.0,76,1
13,Sumatera Barat,Bawang Putih (Bonggol),2022,Januari,26483.0,1,25939.0,26236.0,25198.0,74,1
14,Riau,Bawang Putih (Bonggol),2022,Januari,27479.0,1,26820.0,26596.0,25674.0,68,1
15,Jambi,Bawang Putih (Bonggol),2022,Januari,25541.0,1,25168.0,25449.0,23505.0,45,1
16,Sumatera Selatan,Bawang Putih (Bonggol),2022,Januari,26162.0,1,25716.0,25636.0,24007.0,75,1
17,Bengkulu,Bawang Putih (Bonggol),2022,Januari,26741.0,1,25575.0,26592.0,25552.0,41,1
18,Lampung,Bawang Putih (Bonggol),2022,Januari,24674.0,1,24530.0,24617.0,24985.0,56,1
19,Kepulauan Bangka Belitung,Bawang Putih (Bonggol),2022,Januari,27564.0,1,27076.0,26618.0,26167.0,54,1
21,Kepulauan Riau,Bawang Putih (Bonggol),2022,Januari,31318.0,1,32853.0,33459.0,27318.0,55,1
31,DKI Jakarta,Bawang Putih (Bonggol),2022,Januari,32597.0,1,31444.0,30297.0,28339.0,43,1
32,Jawa Barat,Bawang Putih (Bonggol),2022,Januari,27319.0,1,26452.0,26493.0,25971.0,46,1
33,Jawa Tengah,Bawang Putih (Bonggol),2022,Januari,24620.0,1,24011.0,24390.0,22777.0,47,1
34,DI Yogyakarta,Bawang Putih (Bonggol),2022,Januari,24365.0,1,23884.0,23159.0,23287.0,42,1
35,Jawa Timur,Bawang Putih (Bonggol),2022,Januari,23709.0,1,23194.0,23042.0,21746.0,48,1
36,Banten,Bawang Putih (Bonggol),2022,Januari,26716.0,1,26535.0,26530.0,25298.0,40,1
51,Bali,Bawang Putih (Bonggol),2022,Januari,22723.0,1,21889.0,22062.0,21601.0,39,1
52,Nusa Tenggara Barat,Bawang Putih (Bonggol),2022,Januari,26131.0,1,25059.0,25809.0,28273.0,59,1
53,Nusa Tenggara Timur,Bawang Putih (Bonggol),2022,Januari,33369.0,1,32271.0,30727.0,31098.0,60,1
61,Kalimantan Barat,Bawang Putih (Bonggol),2022,Januari,28516.0,1,27143.0,27334.0,27456.0,49,1
62,Kalimantan Tengah,Bawang Putih (Bonggol),2022,Januari,29379.0,1,28659.0,29034.0,27673.0,51,1
63,Kalimantan Selatan,Bawang Putih (Bonggol),2022,Januari,26295.0,1,25088.0,26060.0,24996.0,50,1
64,Kalimantan Timur,Bawang Putih (Bonggol),2022,Januari,30852.0,1,28014.0,29979.0,26579.0,52,1
65,Kalimantan Utara,Bawang Putih (Bonggol),2022,Januari,33366.0,1,32736.0,33591.0,32512.0,53,1
71,Sulawesi Utara,Bawang Putih (Bonggol),2022,Januari,33179.0,1,32702.0,33415.0,30660.0,73,1
72,Sulawesi Tengah,Bawang Putih (Bonggol),2022,Januari,31887.0,1,32377.0,32375.0,32797.0,71,1
73,Sulawesi Selatan,Bawang Putih (Bonggol),2022,Januari,27557.0,1,27041.0,27569.0,26256.0,70,1
74,Sulawesi Tenggara,Bawang Putih (Bonggol),2022,Januari,32954.0,1,32622.0,32917.0,29484.0,72,1
75,Gorontalo,Bawang Putih (Bonggol),2022,Januari,32672.0,1,31554.0,31731.0,30070.0,44,1
